category_0,category_1,category_2,price,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22
cat_31,cat_502,cat_35,122.34912920210613,1,2018-02-06 14:52:43.000000,2018-04-06 00:00:51.000000,3,0,8,0,416.61,151.04,690.0,65.0,15.0,45.0,58.0,19.0,39.0,0.0,0.0,0.0
cat_31,cat_147,cat_35,522.4787363304982,1,2018-02-05 01:41:29.000000,2018-03-07 02:25:26.000000,2,0,4,0,812.21,645.0,1075.0,65.0,9.0,45.0,58.0,11.0,39.0,0.0,0.0,0.0
cat_691,cat_56,cat_37,202.51113811259617,1,2018-02-14 01:55:17.000000,2018-02-14 01:49:25.000000,0,0,3,0,180.68,132.64,265.82,7.0,0.0,9.0,32.0,3.0,23.0,0.0,0.0,0.0
cat_691,cat_330,cat_40,141.75779667881736,1,2018-07-06 02:20:39.000000,2018-07-06 02:20:37.000000,0,0,3,0,69.98,69.98,69.98,7.0,0.0,0.0,32.0,4.0,9.0,0.0,0.0,0.0
cat_40,cat_17,cat_19,737.2134467395708,1,2017-11-02 23:37:24.000000,2017-11-02 23:37:23.000000,0,0,2,0,852.95,656.25,1250.0,0.0,0.0,19.0,8.0,8.0,14.0,0.0,0.0,0.0
cat_40,cat_17,cat_9,396.1198865937626,1,2017-09-30 13:03:01.000000,2017-09-30 13:03:00.000000,0,0,1,0,433.85,240.0,640.0,0.0,0.0,0.0,8.0,8.0,1.0,0.0,0.0,0.0
cat_40,cat_17,cat_20,100.25111381125963,1,2017-06-21 17:36:32.000000,2017-06-21 17:36:31.000000,0,0,1,0,3697.36,51.07,12833.52,0.0,0.0,1.0,8.0,8.0,8.0,0.0,0.0,0.0
cat_352,cat_331,cat_37,398.5419198055893,1,2018-06-14 23:56:28.000000,2018-06-14 23:50:51.000000,0,0,1,0,492.0,492.0,492.0,3.0,0.0,3.0,10.0,3.0,10.0,0.0,0.0,0.0
cat_944,cat_331,cat_19,291.61603888213847,1,2017-04-12 05:55:01.000000,2017-04-12 05:47:26.000000,0,0,1,0,327.21,200.01,360.91,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0
cat_814,cat_409,cat_16,522.4787363304982,1,2018-06-13 07:08:10.000000,2018-06-13 07:08:10.000000,1,0,1,0,456.98,329.47,543.59,28.0,1.0,1.0,36.0,2.0,10.0,0.0,0.0,0.0
